"feature","phi"
"DOC",-0.759331894968902
"Daily__feed",0.494720678597488
"Cum_Feed",-0.444719887131537
"FTF4",0.240047986546438
"FTF3",0.226437047383788
"pH",0.150969580953041
"FTF2",-0.137623455340838
"FCR",0.0485267370089196
"FTF1",0.0360360457214493
"Farm_ID.F003",0.0334282003192366
"POND_SIZE_Ha",0.0301677337447865
"Pond_Type.BFT",0.0287450566707336
"Stocking_Density",0.0259811927814726
"PH_PM",-0.0249854911937088
"Temp",0.0221870600799192
"DO",-0.0152698023703702
"Farm_ID.F007",-0.0147447234182229
"Temp_PM",0.0126428767523159
"PL__SIZE",-0.0110039810360624
"Farm_ID.F002",0.0096407938357083
"Pond_Type.LP",-0.00913223954723076
"Farm_ID.F009",-0.0071828218517865
"Variant.SIS.GROWTH.LINE",0.00492465102564108
"Farm_ID.F008",0.00429824174648157
"Cycle_ID.C003",0.00276661371856871
"Farm_ID.F005",0.00208609501831502
"Salinity",-0.00180201385353531
"Pond_Type.LP.DIATOM.BASED.",0.00166987280810268
"Alkalinity",0.00133765333333336
"Farm_ID.F004",-0.00129256710104721
"Farm_ID.F010",0.000926715384615413
"Variant.SIS.HARDY.LINE",-0.000807493272940523
"Ammonia",-0.000596353030303032
"Variant.SYAqua",-0.000564369115513266
"Cycle_ID.C002",-0.000472878947931274
"Nitrate",0.000191849230769225
"Cycle_ID.C005",-9.50600000000002e-05
"Cycle_ID.C004",8.68799999999936e-05
"Nitrite",3.07999999999886e-05
"Farm_ID.F006",0
"Cycle_ID.C006",0
